PLAYER,TEAM,CLAUSE,EXPIRY,AGE,POS,Handed,,GP,G,A,P,+/-,TOI,W,L,SO,GAA,Sv%,,SALARY,CAP HIT ▾
192. David Savard,,,UFA,27,D,Right,,74,6,17,23,33,21:50,-,-,-,-,-,,"$3,500,000","$4,250,000"
193. Kevin Shattenkirk,,,UFA,29,D,Right,,80,13,43,56,-7,19:51,-,-,-,-,-,,"$5,200,000","$4,250,000"
194. Marc-Édouard Vlasic,,NTC,UFA,31,D,Left,,75,6,22,28,4,21:14,-,-,-,-,-,,"$4,250,000","$4,250,000"
195. Craig Smith,,,UFA,28,"C, RW",Right,,78,12,17,29,7,13:49,-,-,-,-,-,,"$4,000,000","$4,250,000"
196. Brian Gionta,,M-NTC,UFA,39,RW,Right,,82,15,20,35,-11,16:36,-,-,-,-,-,,"$3,250,000","$4,250,000"
197. Jonathan Ericsson,,NTC,UFA,34,D,Left,,51,1,8,9,-2,19:13,-,-,-,-,-,,"$4,250,000","$4,250,000"
198. Justin Abdelkader,,NTC,UFA,31,"LW, RW",Left,,64,7,14,21,-20,16:39,-,-,-,-,-,,"$5,500,000","$4,250,000"
199. Craig Anderson,,,UFA,36,G,Left,,40,-,-,-,-,-,25,11,5,2.28,.926,,"$4,750,000","$4,200,000"
200. Tyler Bozak,,M-NTC,UFA,32,C,Right,,78,18,37,55,-1,16:25,-,-,-,-,-,,"$4,500,000","$4,200,000"
201. Nikolai Kulemin,,,UFA,31,"LW, RW",Left,,72,12,11,23,3,13:49,-,-,-,-,-,,"$4,250,000","$4,187,500"
202. T.J. Oshie,,,UFA,31,RW,Right,,68,33,23,56,28,17:51,-,-,-,-,-,,"$4,500,000","$4,175,000"
203. Oscar Klefbom,,,UFA,24,D,Left,,82,12,26,38,7,22:22,-,-,-,-,-,,"$3,000,000","$4,167,000"
204. Cam Talbot,,NMC,UFA,30,G,Left,,73,-,-,-,-,-,42,22,7,2.39,.919,,"$4,150,000","$4,166,667"
205. Jonas Brodin,,,UFA,24,D,Left,,68,3,22,25,5,19:34,-,-,-,-,-,,"$4,000,000","$4,166,667"
206. Adam Larsson,,,UFA,25,D,Right,,79,4,15,19,21,20:08,-,-,-,-,-,,"$3,000,000","$4,166,667"
207. Jonathan Bernier,,,UFA,29,G,Left,,39,-,-,-,-,-,21,7,2,2.50,.915,,"$4,150,000","$4,150,000"
208. Niklas Hjalmarsson,,"M-NTC, NMC",UFA,30,D,Left,,73,5,13,18,12,21:29,-,-,-,-,-,,"$4,100,000","$4,100,000"
209. Nick Bjugstad,,,UFA,25,C,Right,,54,7,7,14,-19,13:09,-,-,-,-,-,,"$3,350,000","$4,100,000"
210. Steve Mason,,,UFA,29,G,Right,,58,-,-,-,-,-,26,21,3,2.66,.908,,"$4,100,000","$4,100,000"
211. Alexei Emelin,,M-NTC,UFA,31,D,Left,,76,2,8,10,1,21:19,-,-,-,-,-,,"$4,200,000","$4,100,000"
212. Olli Määttä,,,UFA,23,D,Left,,55,1,6,7,17,18:03,-,-,-,-,-,,"$4,083,300","$4,083,333"
213. Jake Gardiner,,,UFA,27,D,Left,,82,9,34,43,24,21:32,-,-,-,-,-,,"$4,050,000","$4,050,000"
214. Cam Fowler,,,UFA,26,D,Left,,80,11,28,39,7,24:50,-,-,-,-,-,,"$4,000,000","$4,000,000"
215. Milan Michalek,,M-NTC,UFA,33,"LW, RW",Left,,5,1,1,2,-2,14:16,-,-,-,-,-,,"$4,000,000","$4,000,000"
216. Jaromír Jágr,,,UFA,46,RW,Left,,82,16,30,46,2,16:59,-,-,-,-,-,,"$4,000,000","$4,000,000"
217. Mikkel Boedker,,,UFA,28,"LW, RW",Left,,81,10,16,26,0,14:20,-,-,-,-,-,,"$5,200,000","$4,000,000"
218. Victor Hedman,,NMC,UFA,27,D,Left,,79,16,56,72,3,24:30,-,-,-,-,-,,"$4,250,000","$4,000,000"
219. Ales Hemsky,,,UFA,34,RW,Right,,15,4,3,7,-1,14:25,-,-,-,-,-,,"$4,000,000","$4,000,000"
220. Benoit Pouliot,,,UFA,31,LW,Left,,67,8,6,14,-5,14:03,-,-,-,-,-,,"$4,000,000","$4,000,000"
221. Carl Hagelin,,,UFA,29,LW,Left,,61,6,16,22,10,15:29,-,-,-,-,-,,"$3,667,000","$4,000,000"
222. Alec Martinez,,,UFA,30,D,Left,,82,9,30,39,-17,21:38,-,-,-,-,-,,"$3,900,000","$4,000,000"
223. Jake Muzzin,,,UFA,29,D,Left,,82,9,19,28,-21,22:17,-,-,-,-,-,,"$4,000,000","$4,000,000"
224. Ryan Johansen,,,UFA,25,"C, RW",Right,,82,14,47,61,1,18:50,-,-,-,-,-,,"$6,000,000","$4,000,000"
225. Jussi Jokinen,,M-NTC,UFA,35,"LW, RW",Left,,69,11,17,28,-15,17:24,-,-,-,-,-,,"$4,000,000","$4,000,000"
226. Michael Stone,,,UFA,27,D,Right,,64,3,12,15,0,20:13,-,-,-,-,-,,"$4,000,000","$4,000,000"
227. Kevin Bieksa,,NMC,UFA,36,D,Right,,81,3,11,14,0,18:45,-,-,-,-,-,,"$4,000,000","$4,000,000"
228. Roman Josi,,,UFA,27,D,Left,,72,12,37,49,7,25:04,-,-,-,-,-,,"$4,250,000","$4,000,000"
229. Victor Rask,,,UFA,25,C,Left,,82,16,29,45,-10,17:17,-,-,-,-,-,,"$4,000,000","$4,000,000"
230. Marco Scandella,,,UFA,28,D,Left,,71,4,9,13,-2,18:20,-,-,-,-,-,,"$3,750,000","$4,000,000"
231. Adam Henrique,,,UFA,28,C,Left,,82,20,20,40,-20,18:10,-,-,-,-,-,,"$4,500,000","$4,000,000"
232. Petr Mrázek,,,RFA,26,G,Left,,50,-,-,-,-,-,18,21,1,3.04,.901,,"$3,850,000","$4,000,000"
233. Wayne Simmonds,,M-NTC,UFA,29,"RW, LW",Right,,82,31,23,54,-18,18:58,-,-,-,-,-,,"$4,300,000","$3,975,000"
234. John Carlson,,,UFA,28,D,Right,,72,9,28,37,7,22:42,-,-,-,-,-,,"$4,000,000","$3,966,667"
235. Johan Franzen,,,UFA,38,"RW, LW",Left,,0,0,0,0,0,,-,-,-,-,-,,"$3,500,000","$3,954,545"
236. Colin Wilson,,,UFA,28,"C, LW",Left,,70,12,23,35,7,14:57,-,-,-,-,-,,"$4,000,000","$3,937,500"
237. Ondrej Pavelec,,,UFA,30,G,Left,,8,-,-,-,-,-,4,4,0,3.55,.888,,"$4,750,000","$3,900,000"
238. Andrew Shaw,,,UFA,26,"C, RW",Right,,68,12,17,29,4,15:12,-,-,-,-,-,,"$5,500,000","$3,900,000"
239. Josh Gorges,,M-NTC,UFA,33,D,Left,,66,1,5,6,-3,18:27,-,-,-,-,-,,"$3,900,000","$3,900,000"
240. Michael Del Zotto,,,UFA,27,D,Left,,51,6,12,18,-5,19:30,-,-,-,-,-,,"$4,000,000","$3,875,000"
241. Travis Hamonic,,,UFA,27,D,Right,,49,3,11,14,-21,20:27,-,-,-,-,-,,"$4,875,000","$3,857,143"
242. Rickard Rakell,,,UFA,24,"C, RW",Right,,71,33,18,51,10,17:23,-,-,-,-,-,,"$3,800,000","$3,853,672"
243. Chris Kunitz,,M-NTC,UFA,38,LW,Left,,71,9,20,29,0,15:30,-,-,-,-,-,,"$3,550,000","$3,850,000"
244. Cody Eakin,,,UFA,26,C,Left,,60,3,9,12,-7,16:48,-,-,-,-,-,,"$3,850,000","$3,850,000"
245. Connor Murphy,,,UFA,25,D,Right,,77,2,15,17,-13,19:10,-,-,-,-,-,,"$2,400,000","$3,850,000"
246. Darren Helm,,NTC,UFA,31,C,Left,,50,8,9,17,-6,15:22,-,-,-,-,-,,"$5,000,000","$3,850,000"
247. Matt Beleskey,,M-NTC,UFA,29,LW,Left,,49,3,5,8,-10,13:15,-,-,-,-,-,,"$4,000,000","$3,800,000"
248. Justin Braun,,,UFA,31,D,Right,,81,4,9,13,1,20:04,-,-,-,-,-,,"$3,800,000","$3,800,000"
249. Jakob Silfverberg,,,UFA,27,"RW, LW",Right,,79,23,26,49,10,18:29,-,-,-,-,-,,"$3,000,000","$3,750,000"
250. David Perron,,M-NTC,UFA,29,"LW, RW",Right,,82,18,28,46,-2,17:17,-,-,-,-,-,,"$3,750,000","$3,750,000"
251. Johnny Oduya,,M-NTC,UFA,36,D,Left,,52,2,7,9,-4,18:31,-,-,-,-,-,,"$3,750,000","$3,750,000"
252. Dan Hamhuis,,M-NTC,UFA,35,D,Left,,79,1,15,16,-7,19:21,-,-,-,-,-,,"$4,500,000","$3,750,000"
253. Mattias Ekholm,,,UFA,27,D,Left,,82,3,20,23,4,23:27,-,-,-,-,-,,"$3,000,000","$3,750,000"
254. Brendan Gallagher,,,UFA,25,RW,Right,,64,10,19,29,7,15:05,-,-,-,-,-,,"$4,500,000","$3,750,000"
255. Anders Lee,,,UFA,27,"C, LW",Left,,81,34,18,52,9,15:35,-,-,-,-,-,,"$3,500,000","$3,750,000"
256. Braydon Coburn,,NTC,UFA,33,D,Left,,80,5,7,12,-1,16:44,-,-,-,-,-,,"$3,700,000","$3,700,000"
257. Patrik Berglund,,M-NTC,UFA,29,"C, LW",Left,,82,23,11,34,-7,15:59,-,-,-,-,-,,"$3,700,000","$3,700,000"
258. Mark Fayne,,,UFA,30,D,Right,,4,0,2,2,1,07:55,-,-,-,-,-,,"$3,500,000","$3,625,000"
259. Matt Read,,,UFA,31,"RW, LW",Right,,63,10,9,19,3,13:47,-,-,-,-,-,,"$4,000,000","$3,625,000"
260. Luca Sbisa,,,UFA,28,D,Left,,82,2,11,13,-1,18:58,-,-,-,-,-,,"$3,600,000","$3,600,000"
261. Mikael Backlund,,,UFA,29,C,Left,,81,22,31,53,9,17:36,-,-,-,-,-,,"$3,575,000","$3,575,000"
262. Mark Stone,,,RFA,25,RW,Right,,71,22,32,54,12,18:33,-,-,-,-,-,,"$3,750,000","$3,500,000"
263. Kyle Turris,,,UFA,28,C,Right,,78,27,28,55,-3,19:30,-,-,-,-,-,,"$4,000,000","$3,500,000"
264. Cam Atkinson,,,UFA,28,RW,Right,,82,35,27,62,13,18:05,-,-,-,-,-,,"$3,500,000","$3,500,000"
265. Erik Gudbranson,,,UFA,26,D,Right,,30,1,5,6,-14,20:20,-,-,-,-,-,,"$3,500,000","$3,500,000"
266. Lars Eller,,,UFA,28,C,Left,,81,12,13,25,15,13:54,-,-,-,-,-,,"$4,250,000","$3,500,000"
267. David Desharnais,,,UFA,31,C,Left,,49,6,8,14,4,11:20,-,-,-,-,-,,"$3,500,000","$3,500,000"
268. Eric Staal,,M-NTC,UFA,33,C,Left,,82,28,37,65,17,18:36,-,-,-,-,-,,"$3,500,000","$3,500,000"
269. Reilly Smith,,,UFA,27,"RW, LW",Left,,80,15,22,37,-13,18:21,-,-,-,-,-,,"$3,500,000","$3,425,000"
270. James Reimer,,,UFA,30,G,Left,,43,-,-,-,-,-,18,16,3,2.53,.920,,"$4,500,000","$3,400,000"
271. Rob Scuderi,,M-NTC,UFA,39,D,Left,,0,0,0,0,0,,-,-,-,-,-,,"$2,500,000","$3,375,000"
272. Radko Gudas,,,UFA,27,D,Right,,67,6,17,23,8,19:17,-,-,-,-,-,,"$4,000,000","$3,350,000"
273. Casey Cizikas,,,UFA,27,C,Left,,59,8,17,25,9,13:54,-,-,-,-,-,,"$2,500,000","$3,350,000"
274. Ondrej Palat,,,UFA,27,LW,Left,,75,17,35,52,8,19:07,-,-,-,-,-,,"$4,000,000","$3,333,333"
275. Tyler Johnson,,,UFA,27,C,Right,,66,19,26,45,-5,18:49,-,-,-,-,-,,"$4,000,000","$3,333,333"
276. Jamie McGinn,,,UFA,29,"LW, RW",Left,,72,9,8,17,-23,13:10,-,-,-,-,-,,"$3,000,000","$3,333,333"
277. Cody Franson,,,UFA,30,D,Right,,68,3,16,19,-5,18:28,-,-,-,-,-,,"$2,650,000","$3,325,000"
278. Jacob Trouba,,,RFA,24,D,Right,,60,8,25,33,4,24:57,-,-,-,-,-,,"$2,500,000","$3,308,824"
279. Trevor Daley,,,UFA,34,D,Left,,56,5,14,19,7,20:22,-,-,-,-,-,,"$2,700,000","$3,300,000"
280. Cam Ward,,M-NTC,UFA,34,G,Left,,61,-,-,-,-,-,26,22,2,2.69,.905,,"$3,500,000","$3,300,000"
281. Josh Bailey,,,UFA,28,"LW, RW",Left,,82,13,43,56,5,18:22,-,-,-,-,-,,"$3,700,000","$3,300,000"
282. Joel Ward,,M-NTC,UFA,37,RW,Right,,78,10,19,29,-2,15:56,-,-,-,-,-,,"$3,275,000","$3,275,000"
283. Brenden Dillon,,,UFA,27,D,Left,,81,2,8,10,-2,16:28,-,-,-,-,-,,"$2,750,000","$3,270,000"
284. Clayton Stoner,,,UFA,33,D,Left,,14,1,2,3,0,17:33,-,-,-,-,-,,"$3,250,000","$3,250,000"
285. Justin Williams,,,UFA,36,RW,Right,,80,24,24,48,14,15:28,-,-,-,-,-,,"$3,250,000","$3,250,000"
286. Tyler Toffoli,,,UFA,25,"RW, LW",Right,,63,16,18,34,6,16:35,-,-,-,-,-,,"$3,900,000","$3,250,000"
287. Jonathan Huberdeau,,,UFA,24,"LW, C",Left,,31,10,16,26,-2,17:55,-,-,-,-,-,,"$4,000,000","$3,250,000"
288. Charlie Coyle,,,UFA,26,"C, RW",Right,,82,18,38,56,13,16:42,-,-,-,-,-,,"$2,600,000","$3,200,000"
289. Matt Stajan,,M-NTC,UFA,34,C,Left,,81,6,17,23,3,12:40,-,-,-,-,-,,"$3,000,000","$3,125,000"
290. Kris Russell,,,UFA,30,D,Left,,68,1,12,13,5,21:13,-,-,-,-,-,,"$3,100,000","$3,100,000"
291. Martin Hanzal,,M-NTC,UFA,31,C,Left,,71,20,19,39,-17,18:35,-,-,-,-,-,,"$3,500,000","$3,100,000"
292. Marcus Krüger,,,UFA,27,C,Left,,70,5,12,17,7,14:01,-,-,-,-,-,,"$3,475,000","$3,083,333"
293. Andrew Cogliano,,M-NTC,UFA,30,"LW, RW, C",Left,,82,16,19,35,11,15:08,-,-,-,-,-,,"$3,100,000","$3,000,000"
294. Mathieu Perreault,,,UFA,30,"C, LW",Left,,65,13,32,45,-11,16:17,-,-,-,-,-,,"$3,000,000","$3,000,000"
295. Martin Jones,,,UFA,28,G,Left,,65,-,-,-,-,-,35,23,2,2.40,.912,,"$3,000,000","$3,000,000"
296. Evgeny Kuznetsov,,,UFA,25,C,Left,,82,19,40,59,18,16:57,-,-,-,-,-,,"$3,400,000","$3,000,000"
297. Tomas Hertl,,,RFA,24,"C, RW",Left,,49,10,12,22,-8,17:13,-,-,-,-,-,,"$2,800,000","$3,000,000"
298. Mikael Granlund,,,UFA,26,"C, LW, RW",Left,,81,26,43,69,23,18:49,-,-,-,-,-,,"$3,200,000","$3,000,000"
299. Leo Komarov,,,UFA,31,LW,Left,,82,14,18,32,6,17:04,-,-,-,-,-,,"$2,950,000","$2,950,000"
300. Deryk Engelland,,,UFA,36,D,Right,,81,4,12,16,2,18:19,-,-,-,-,-,,"$2,750,000","$2,916,667"
301. Carl Gunnarsson,,,UFA,31,D,Left,,56,0,6,6,-5,13:35,-,-,-,-,-,,"$2,900,000","$2,900,000"
302. Boone Jenner,,,RFA,24,"C, LW",Left,,82,18,16,34,14,16:03,-,-,-,-,-,,"$2,900,000","$2,900,000"
303. Ron Hainsey,,M-NTC,UFA,37,D,Left,,72,4,13,17,-8,22:19,-,-,-,-,-,,"$2,500,000","$2,833,333"
304. Ryan Murray,,,RFA,24,D,Left,,60,2,9,11,3,18:19,-,-,-,-,-,,"$2,825,000","$2,825,000"
305. Cody Ceci,,,RFA,24,D,Right,,79,2,15,17,-11,23:12,-,-,-,-,-,,"$2,250,000","$2,800,000"
306. Karl Alzner,,M-NTC,UFA,29,D,Left,,82,3,10,13,23,19:47,-,-,-,-,-,,"$2,800,000","$2,800,000"
307. Alex Galchenyuk,,,UFA,24,"C, LW, RW",Left,,61,17,27,44,-5,15:55,-,-,-,-,-,,"$3,100,000","$2,800,000"
308. J.T. Miller,,,RFA,25,"C, LW, RW",Left,,82,22,34,56,17,16:21,-,-,-,-,-,,"$2,750,000","$2,750,000"
309. Eddie Läck,,,UFA,30,G,Left,,20,-,-,-,-,-,8,7,1,2.64,.902,,"$2,500,000","$2,750,000"
310. Adam McQuaid,,,UFA,31,D,Right,,77,2,8,10,4,18:14,-,-,-,-,-,,"$3,000,000","$2,750,000"
311. Cal Clutterbuck,,,UFA,30,RW,Right,,66,5,15,20,2,13:59,-,-,-,-,-,,"$3,500,000","$2,750,000"
312. Tomas Tatar,,,UFA,27,"LW, RW",Left,,82,25,21,46,-8,17:16,-,-,-,-,-,,"$2,750,000","$2,750,000"
313. Brendan Smith,,,UFA,29,D,Left,,51,3,6,9,1,18:44,-,-,-,-,-,,"$3,250,000","$2,750,000"
314. Vladimír Sobotka,,,UFA,30,LW,Left,,1,1,0,1,0,16:41,-,-,-,-,-,,"$2,725,000","$2,725,000"
315. Elias Lindholm,,,RFA,23,"C, RW",Right,,72,11,34,45,-2,18:10,-,-,-,-,-,,"$2,500,000","$2,700,000"
316. Ben Lovejoy,,,UFA,34,D,Right,,82,1,6,7,-7,20:46,-,-,-,-,-,,"$2,500,000","$2,666,667"
317. Nino Niederreiter,,,UFA,25,RW,Left,,82,25,32,57,17,15:04,-,-,-,-,-,,"$3,500,000","$2,666,667"
318. Colin Greening,,M-NTC,UFA,32,LW,Left,,0,0,0,0,0,,-,-,-,-,-,,"$3,200,000","$2,650,000"
319. Derek Dorsett,,,UFA,31,RW,Right,,14,1,3,4,-6,09:55,-,-,-,-,-,,"$2,500,000","$2,650,000"
320. Mika Zibanejad,,,UFA,24,C,Right,,56,14,23,37,9,17:04,-,-,-,-,-,,"$3,250,000","$2,625,000"
321. Mark Stuart,,M-NTC,UFA,33,D,Left,,42,2,2,4,4,12:27,-,-,-,-,-,,"$1,700,000","$2,625,000"
322. Thomas Vanek,,,UFA,34,"LW, RW",Right,,68,17,31,48,-5,14:37,-,-,-,-,-,,"$2,600,000","$2,600,000"
323. Kevin Hayes,,,RFA,25,C,Left,,76,17,32,49,10,16:33,-,-,-,-,-,,"$2,600,000","$2,600,000"
324. Dmitry Orlov,,,UFA,26,D,Left,,82,6,27,33,30,19:32,-,-,-,-,-,,"$2,570,000","$2,570,000"
325. Matt Dumba,,,RFA,23,D,Right,,76,11,23,34,15,20:19,-,-,-,-,-,,"$2,350,000","$2,550,000"
326. Lee Stempniak,,,UFA,35,RW,Right,,82,16,24,40,2,15:50,-,-,-,-,-,,"$2,500,000","$2,500,000"
327. Nail Yakupov,,,RFA,24,"RW, LW",Left,,40,3,6,9,-3,10:38,-,-,-,-,-,,"$2,500,000","$2,500,000"
328. Joe Colborne,,,UFA,28,"C, LW, RW",Left,,62,4,4,8,-21,10:41,-,-,-,-,-,,"$2,500,000","$2,500,000"
329. Brian Elliott,,,UFA,32,G,Left,,49,-,-,-,-,-,26,18,2,2.55,.910,,"$2,700,000","$2,500,000"
330. Jannik Hansen,,M-NTC,UFA,32,RW,Right,,43,8,12,20,2,15:30,-,-,-,-,-,,"$3,000,000","$2,500,000"
331. Ryan Ellis,,,UFA,27,D,Right,,71,16,22,38,17,23:57,-,-,-,-,-,,"$2,500,000","$2,500,000"
332. Kevan Miller,,,UFA,30,D,Right,,58,3,10,13,1,17:47,-,-,-,-,-,,"$2,500,000","$2,500,000"
333. Ryan Strome,,,RFA,24,"C, RW",Right,,69,13,17,30,-8,14:36,-,-,-,-,-,,"$2,000,000","$2,500,000"
334. Matt Martin,,,UFA,28,"LW, RW",Left,,82,5,4,9,0,08:53,-,-,-,-,-,,"$3,500,000","$2,500,000"
335. Brock Nelson,,,RFA,26,"C, LW",Left,,81,20,25,45,-6,15:38,-,-,-,-,-,,"$2,500,000","$2,500,000"
336. Tommy Wingels,,,UFA,29,"RW, LW",Right,,73,7,5,12,-11,10:57,-,-,-,-,-,,"$2,600,000","$2,475,000"
337. Blake Comeau,,,UFA,32,"LW, RW",Right,,77,8,12,20,-19,14:59,-,-,-,-,-,,"$2,400,000","$2,400,000"
338. Jake Allen,,,UFA,27,G,Left,,61,-,-,-,-,-,33,20,4,2.42,.915,,"$2,500,000","$2,350,000"
339. Michael Raffl,,,UFA,29,"LW, RW",Left,,52,8,3,11,-7,13:15,-,-,-,-,-,,"$2,350,000","$2,350,000"
340. Dale Weise,,,UFA,29,RW,Right,,64,8,7,15,1,12:52,-,-,-,-,-,,"$2,750,000","$2,350,000"
341. John Gibson,,,RFA,24,G,Left,,52,-,-,-,-,-,25,16,6,2.22,.924,,"$1,500,000","$2,300,000"
342. Jimmy Hayes,,,UFA,28,RW,Right,,58,2,3,5,-3,09:13,-,-,-,-,-,,"$2,300,000","$2,300,000"
343. Daniel Winnik,,,UFA,33,C,Left,,72,12,13,25,15,12:54,-,-,-,-,-,,"$1,800,000","$2,250,000"
344. Roman Polák,,,UFA,31,D,Right,,75,4,7,11,10,17:55,-,-,-,-,-,,"$2,250,000","$2,250,000"
345. Jason Chimera,,,UFA,38,"LW, RW",Left,,82,20,13,33,1,13:03,-,-,-,-,-,,"$2,000,000","$2,250,000"
346. Nick Schultz,,,UFA,35,D,Left,,28,0,4,4,1,15:15,-,-,-,-,-,,"$2,250,000","$2,250,000"
347. Marcus Foligno,,,UFA,26,LW,Left,,80,13,10,23,-1,15:28,-,-,-,-,-,,"$2,250,000","$2,250,000"
348. Robin Lehner,,,RFA,26,G,Left,,59,-,-,-,-,-,23,26,2,2.68,.920,,"$3,150,000","$2,225,000"
349. Tobias Rieder,,,RFA,25,"RW, LW",Left,,80,16,18,34,-8,17:18,-,-,-,-,-,,"$2,000,000","$2,225,000"
350. Lance Bouma,,,UFA,28,"C, LW, RW",Left,,61,3,4,7,-2,11:20,-,-,-,-,-,,"$2,200,000","$2,200,000"
351. Matt Calvert,,,UFA,28,LW,Left,,65,10,5,15,-4,13:20,-,-,-,-,-,,"$2,200,000","$2,200,000"
352. Thomas Hickey,,,UFA,29,D,Left,,76,4,16,20,-1,17:31,-,-,-,-,-,,"$2,250,000","$2,200,000"
353. Shawn Matthias,,,UFA,30,"C, LW",Left,,45,8,4,12,0,13:33,-,-,-,-,-,,"$2,125,000","$2,125,000"
354. Ian Cole,,,UFA,29,D,Left,,81,5,21,26,26,19:49,-,-,-,-,-,,"$2,300,000","$2,100,000"
355. David Schlemko,,,UFA,30,D,Left,,62,2,16,18,4,16:44,-,-,-,-,-,,"$2,500,000","$2,100,000"
356. Brad Richardson,,,UFA,33,RW,Left,,16,5,4,9,-1,15:20,-,-,-,-,-,,"$2,250,000","$2,083,333"
357. Riley Sheahan,,,RFA,26,C,Left,,80,2,11,13,-29,13:58,-,-,-,-,-,,"$2,075,000","$2,075,000"
358. Patrick Maroon,,,UFA,29,LW,Left,,81,27,15,42,13,16:44,-,-,-,-,-,,"$2,000,000","$2,000,000"
359. Brian Boyle,,,UFA,33,"C, LW",Left,,75,13,12,25,3,13:41,-,-,-,-,-,,"$2,000,000","$2,000,000"
360. Antoine Roussel,,,UFA,28,LW,Left,,60,12,15,27,1,15:31,-,-,-,-,-,,"$2,200,000","$2,000,000"
361. Jiri Hudler,,,UFA,34,"LW, RW",Left,,32,3,8,11,-3,11:51,-,-,-,-,-,,"$2,000,000","$2,000,000"
362. Trevor Lewis,,,UFA,31,"C, RW, LW",Right,,82,12,12,24,-6,14:16,-,-,-,-,-,,"$2,000,000","$2,000,000"
363. Fedor Tyutin,,,UFA,34,D,Left,,69,1,12,13,-25,18:56,-,-,-,-,-,,"$2,000,000","$2,000,000"
364. Tom Wilson,,,RFA,24,RW,Right,,82,7,12,19,9,12:55,-,-,-,-,-,,"$1,750,000","$2,000,000"
365. Eric Fehr,,,UFA,32,"C, RW",Right,,53,6,5,11,2,10:55,-,-,-,-,-,,"$2,000,000","$2,000,000"
366. Calle Järnkrok,,,UFA,26,C,Right,,81,15,16,31,-1,15:43,-,-,-,-,-,,"$1,700,000","$2,000,000"
367. John-Michael Liles,,,UFA,37,D,Left,,36,0,5,5,1,16:12,-,-,-,-,-,,"$2,000,000","$2,000,000"
368. Jason Zucker,,,RFA,26,"LW, RW",Left,,79,22,25,47,34,15:17,-,-,-,-,-,,"$2,000,000","$2,000,000"
369. Calvin De Haan,,,UFA,26,D,Left,,82,5,20,25,15,19:50,-,-,-,-,-,,"$2,900,000","$1,966,667"
370. Vladislav Namestnikov,,,RFA,25,"C, LW",Left,,74,10,18,28,-4,14:47,-,-,-,-,-,,"$1,900,000","$1,937,500"
371. Nick Bonino,,,UFA,29,C,Left,,80,18,19,37,-5,16:39,-,-,-,-,-,,"$2,100,000","$1,900,000"
372. Zack Smith,,,UFA,29,C,Left,,74,16,16,32,6,16:22,-,-,-,-,-,,"$2,350,000","$1,887,500"
373. Sven Baertschi,,,RFA,25,LW,Left,,68,18,17,35,-6,15:52,-,-,-,-,-,,"$1,700,000","$1,850,000"
374. Matt Hendricks,,,UFA,36,LW,Left,,42,4,3,7,-3,10:44,-,-,-,-,-,,"$1,850,000","$1,850,000"
375. Mark Letestu,,,UFA,33,"C, RW",Right,,78,16,19,35,-2,14:14,-,-,-,-,-,,"$1,800,000","$1,800,000"
376. Antoine Vermette,,NMC,UFA,35,"C, LW",Left,,72,9,19,28,-7,15:54,-,-,-,-,-,,"$1,750,000","$1,750,000"
377. Jay Beagle,,,UFA,32,C,Right,,81,13,17,30,20,13:37,-,-,-,-,-,,"$1,750,000","$1,750,000"
378. Chad Johnson,,,UFA,31,G,Left,,36,-,-,-,-,-,18,15,3,2.59,.910,,"$1,700,000","$1,700,000"
379. Brayden McNabb,,,UFA,27,D,Left,,49,2,2,4,1,15:03,-,-,-,-,-,,"$1,600,000","$1,700,000"
380. John Moore,,,UFA,27,D,Left,,63,12,10,22,-7,18:58,-,-,-,-,-,,"$1,750,000","$1,666,667"
381. Melker Karlsson,,,UFA,27,"C, RW",Right,,67,11,11,22,7,12:48,-,-,-,-,-,,"$1,850,000","$1,650,000"
382. Nick Holden,,,UFA,30,D,Left,,80,11,23,34,13,20:36,-,-,-,-,-,,"$1,650,000","$1,650,000"
383. Michael Grabner,,,UFA,30,"RW, LW",Left,,76,27,13,40,22,14:05,-,-,-,-,-,,"$1,650,000","$1,650,000"
384. Michal Neuvirth,,,UFA,30,G,Left,,28,-,-,-,-,-,11,11,0,2.82,.891,,"$1,750,000","$1,625,000"
385. Nate Thompson,,,UFA,33,C,Left,,30,1,1,2,4,10:23,-,-,-,-,-,,"$1,700,000","$1,600,000"
386. Teddy Purcell,,,UFA,32,"RW, LW",Right,,12,0,2,2,0,12:53,-,-,-,-,-,,"$1,600,000","$1,600,000"
387. Kyle Clifford,,,UFA,27,LW,Left,,73,6,6,12,-2,10:43,-,-,-,-,-,,"$1,250,000","$1,600,000"
388. Jake McCabe,,,RFA,24,D,Left,,76,3,17,20,-7,20:42,-,-,-,-,-,,"$1,250,000","$1,600,000"
389. Dalton Prout,,,UFA,28,D,Right,,29,0,6,6,-1,13:03,-,-,-,-,-,,"$1,250,000","$1,575,000"
390. Darcy Kuemper,,,UFA,27,G,Left,,18,-,-,-,-,-,8,5,0,3.13,.902,,"$1,550,000","$1,550,000"
391. Jacob Markström,,,UFA,28,G,Left,,26,-,-,-,-,-,10,11,0,2.63,.910,,"$1,600,000","$1,550,000"
392. Thomas Greiss,,,UFA,32,G,Left,,51,-,-,-,-,-,26,18,3,2.69,.913,,"$2,000,000","$1,500,000"
393. Zack Kassian,,,UFA,27,RW,Right,,79,7,17,24,4,12:18,-,-,-,-,-,,"$1,500,000","$1,500,000"
394. Andrej Sustr,,,UFA,27,D,Right,,80,3,11,14,-10,17:35,-,-,-,-,-,,"$1,600,000","$1,450,000"
