PLAYER,TEAM,CLAUSE,EXPIRY,AGE,POS,Handed,,GP,G,A,P,+/-,TOI,W,L,SO,GAA,Sv%,,SALARY,CAP HIT ▾
44. Erik Karlsson,,,UFA,27,D,Right,,77,17,54,71,10,26:50,-,-,-,-,-,,"$7,000,000","$6,500,000"
45. Derek Stepan,,,UFA,27,C,Right,,81,17,38,55,19,18:36,-,-,-,-,-,,"$8,000,000","$6,500,000"
46. Alex Pietrangelo,,,UFA,28,D,Right,,80,14,34,48,3,25:16,-,-,-,-,-,,"$7,000,000","$6,500,000"
47. Carey Price,,"M-NTC, NMC",UFA,30,G,Left,,62,-,-,-,-,-,37,20,3,2.23,.923,,"$7,000,000","$6,500,000"
48. Sean Monahan,,,UFA,23,C,Left,,82,27,31,58,-1,17:34,-,-,-,-,-,,"$6,500,000","$6,375,000"
49. Keith Yandle,,NMC,UFA,31,D,Left,,82,5,36,41,-6,22:02,-,-,-,-,-,,"$7,500,000","$6,350,000"
50. Nathan MacKinnon,,,UFA,22,"C, RW",Right,,82,16,37,53,-14,19:56,-,-,-,-,-,,"$5,000,000","$6,300,000"
51. Mark Scheifele,,,UFA,25,C,Right,,79,32,50,82,18,20:33,-,-,-,-,-,,"$5,000,000","$6,125,000"
52. Braden Holtby,,,UFA,28,G,Left,,63,-,-,-,-,-,42,13,9,2.07,.925,,"$7,000,000","$6,100,000"
53. Henrik Zetterberg,,,UFA,37,"LW, C",Left,,82,17,51,68,15,19:43,-,-,-,-,-,,"$7,500,000","$6,083,333"
54. Taylor Hall,,,UFA,26,"LW, C",Left,,72,20,33,53,-9,19:19,-,-,-,-,-,,"$6,000,000","$6,000,000"
55. Jordan Eberle,,,UFA,27,RW,Right,,82,20,31,51,3,16:46,-,-,-,-,-,,"$6,000,000","$6,000,000"
56. Ryan Nugent-Hopkins,,,UFA,24,C,Left,,82,18,25,43,-10,17:41,-,-,-,-,-,,"$6,000,000","$6,000,000"
57. Brandon Saad,,,UFA,25,"LW, RW",Left,,82,24,29,53,23,17:01,-,-,-,-,-,,"$5,750,000","$6,000,000"
58. Corey Crawford,,"M-NTC, NMC",UFA,33,G,Left,,55,-,-,-,-,-,32,18,2,2.55,.918,,"$6,000,000","$6,000,000"
59. Mike Green,,NTC,UFA,32,D,Right,,72,14,22,36,-20,23:33,-,-,-,-,-,,"$6,000,000","$6,000,000"
60. David Backes,,NMC,UFA,33,"C, RW",Right,,74,17,21,38,2,17:07,-,-,-,-,-,,"$8,000,000","$6,000,000"
61. Ryan Miller,,M-NTC,UFA,37,G,Left,,54,-,-,-,-,-,18,29,3,2.80,.914,,"$6,000,000","$6,000,000"
62. Matt Duchene,,,UFA,27,"C, LW",Left,,77,18,23,41,-34,18:18,-,-,-,-,-,,"$6,000,000","$6,000,000"
63. Joe Pavelski,,M-NTC,UFA,33,"C, RW",Right,,81,29,39,68,11,19:07,-,-,-,-,-,,"$6,000,000","$6,000,000"
64. Logan Couture,,M-NTC,UFA,29,"C, LW",Left,,73,25,27,52,11,17:36,-,-,-,-,-,,"$6,000,000","$6,000,000"
65. Erik Johnson,,"M-NTC, NMC",UFA,30,D,Right,,46,2,15,17,-6,22:04,-,-,-,-,-,,"$6,000,000","$6,000,000"
66. Filip Forsberg,,,UFA,23,LW,Right,,82,31,27,58,-4,18:31,-,-,-,-,-,,"$6,000,000","$6,000,000"
67. Tomas Plekanec,,,UFA,35,C,Left,,78,10,18,28,10,16:49,-,-,-,-,-,,"$7,000,000","$6,000,000"
68. Jordan Staal,,NMC,UFA,29,"C, LW",Left,,75,16,29,45,-1,18:39,-,-,-,-,-,,"$6,000,000","$6,000,000"
69. Loui Eriksson,,NMC,UFA,32,"RW, LW",Left,,65,11,13,24,-9,18:40,-,-,-,-,-,,"$8,000,000","$6,000,000"
70. Milan Lucic,,NMC,UFA,29,LW,Left,,82,23,27,50,-3,17:09,-,-,-,-,-,,"$8,000,000","$6,000,000"
71. Kyle Okposo,,NMC,UFA,29,RW,Right,,65,19,26,45,-7,18:58,-,-,-,-,-,,"$8,000,000","$6,000,000"
